               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  49,            0.056245,             0.01443,           0.0021189,             0.65427,             0.72111,              0.8076,             0.40691,            0.044584,            0.009229,           0.0012341,            0.008416,            0.008416,            0.008416
                  50,            0.063754,            0.015739,           0.0020966,             0.64485,             0.76923,             0.81961,             0.37547,            0.049355,           0.0089496,           0.0013103,            0.008383,            0.008383,            0.008383
                  51,             0.05501,            0.016184,            0.002002,             0.92352,             0.95531,             0.99033,             0.58842,            0.036263,           0.0091561,            0.001341,             0.00835,             0.00835,             0.00835
                  52,            0.046834,            0.016513,            0.002321,             0.92352,             0.95531,             0.99033,             0.58842,            0.036263,           0.0091561,            0.001341,            0.008317,            0.008317,            0.008317
                  53,            0.047659,            0.013216,           0.0021332,             0.80314,             0.82057,             0.91863,             0.36797,            0.040018,           0.0091739,           0.0014586,            0.008284,            0.008284,            0.008284
                  54,            0.053742,            0.017378,           0.0024948,              0.8596,             0.94453,              0.9925,             0.61078,            0.034624,            0.008619,           0.0014011,            0.008251,            0.008251,            0.008251
                  55,            0.047336,            0.013079,           0.0023519,             0.66658,             0.77411,              0.8636,             0.40411,            0.046764,           0.0086316,           0.0011392,            0.008218,            0.008218,            0.008218
                  56,             0.05656,            0.016193,           0.0020311,             0.66658,             0.77411,              0.8636,             0.40411,            0.046764,           0.0086316,           0.0011392,            0.008185,            0.008185,            0.008185
                  57,            0.055241,            0.014775,           0.0018883,             0.71631,             0.78668,              0.9069,             0.51378,             0.04537,            0.008675,           0.0011425,            0.008152,            0.008152,            0.008152
                  58,            0.056665,            0.014705,           0.0022387,             0.76064,             0.92308,             0.91743,             0.46098,            0.044068,           0.0087648,            0.001231,            0.008119,            0.008119,            0.008119
                  59,            0.047129,            0.014406,           0.0019818,             0.76064,             0.92308,             0.91743,             0.46098,            0.044068,           0.0087648,            0.001231,            0.008086,            0.008086,            0.008086
                  60,             0.04841,            0.014647,           0.0024073,             0.75644,                   1,              0.9074,             0.50324,            0.038835,           0.0085542,           0.0013599,            0.008053,            0.008053,            0.008053
                  61,            0.048155,            0.014625,           0.0018227,             0.80347,             0.84247,             0.90463,             0.51365,            0.040268,           0.0082102,           0.0013163,             0.00802,             0.00802,             0.00802
                  62,            0.050171,            0.016068,           0.0018787,             0.80347,             0.84247,             0.90463,             0.51365,            0.040268,           0.0082102,           0.0013163,            0.007987,            0.007987,            0.007987
                  63,            0.047523,             0.01678,           0.0018266,             0.68353,             0.80666,             0.83096,              0.4135,            0.041172,             0.00831,           0.0012826,            0.007954,            0.007954,            0.007954
                  64,            0.049493,            0.014235,           0.0023771,             0.95099,             0.89901,              0.9737,             0.46207,            0.034783,           0.0084876,            0.001375,            0.007921,            0.007921,            0.007921
                  65,            0.043759,            0.015018,           0.0019251,             0.95099,             0.89901,              0.9737,             0.46207,            0.034783,           0.0084876,            0.001375,            0.007888,            0.007888,            0.007888
                  66,            0.053516,             0.01591,           0.0025565,             0.82899,             0.92308,             0.95986,             0.45671,            0.037689,           0.0086414,            0.001435,            0.007855,            0.007855,            0.007855
                  67,            0.046216,            0.015456,           0.0024591,             0.78843,             0.96154,             0.95908,             0.63897,            0.033874,           0.0084659,           0.0012283,            0.007822,            0.007822,            0.007822
                  68,            0.046113,             0.01405,           0.0027139,             0.78843,             0.96154,             0.95908,             0.63897,            0.033874,           0.0084659,           0.0012283,            0.007789,            0.007789,            0.007789
                  69,            0.043953,            0.016326,           0.0019739,             0.76137,               0.925,             0.91975,             0.60035,             0.03743,           0.0086817,           0.0011649,            0.007756,            0.007756,            0.007756
                  70,            0.043532,            0.013441,           0.0019763,             0.92082,             0.96154,             0.98061,             0.65005,            0.030681,           0.0085595,           0.0010888,            0.007723,            0.007723,            0.007723
                  71,            0.041708,            0.012901,           0.0020315,             0.88264,                   1,              0.9714,             0.45853,            0.037251,           0.0089063,          0.00096927,             0.00769,             0.00769,             0.00769
                  72,            0.052257,            0.015804,           0.0018954,             0.88264,                   1,              0.9714,             0.45853,            0.037251,           0.0089063,          0.00096927,            0.007657,            0.007657,            0.007657
                  73,            0.040579,            0.013529,           0.0015019,             0.93895,                   1,             0.97607,             0.65563,            0.032424,           0.0083926,          0.00093559,            0.007624,            0.007624,            0.007624
